"","precio","superficie","distrito","fecha","ciudad","tipo"
"1",65000,26,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"2",4e+05,300,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"3",495000,339,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"4",980000,559,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"5",590000,300,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"6",220000,145,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"7",592600,280,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"8",69000,17,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"9",420000,232,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"10",350000,261,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"11",40000,15,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"12",183000,78,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"13",340000,82,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"14",4200000,1800,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"15",50000,25,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"16",75000,32,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"17",38000,15,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"18",28000,11,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"19",5e+05,265,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"20",290000,130,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"21",99000,60,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"22",180000,64,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"23",2e+06,1376,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"24",150000,156,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"25",1800000,1376,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"26",396900,133,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"27",350000,170,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"28",175000,97,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"29",270000,135,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"30",167000,73,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"31",415000,210,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"32",3e+05,183,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"33",232760,180,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"34",30000,8,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"35",22000,6,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"36",320000,194,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"37",785000,595,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
